Datetime;PJM_Load_MW;Weekday;Date;Year;Month;Season;Day;Time;Hour;Minute;Week;DayOfWeek;LeapYear
1998-04-03 02:00:00;2;Friday;1998-04-03;1998;4;Spring;3;02:00:00;2;0;14;4;False
1998-04-03 03:00:00;2;Friday;1998-04-03;1998;4;Spring;3;03:00:00;3;0;14;4;False
1998-04-03 04:00:00;2;Friday;1998-04-03;1998;4;Spring;3;04:00:00;4;0;14;4;False
1998-04-03 05:00:00;2;Friday;1998-04-03;1998;4;Spring;3;05:00:00;5;0;14;4;False
1998-04-03 06:00:00;2;Friday;1998-04-03;1998;4;Spring;3;06:00:00;6;0;14;4;False
1998-04-03 07:00:00;2;Friday;1998-04-03;1998;4;Spring;3;07:00:00;7;0;14;4;False
1998-04-03 08:00:00;3;Friday;1998-04-03;1998;4;Spring;3;08:00:00;8;0;14;4;False
1998-04-03 09:00:00;3;Friday;1998-04-03;1998;4;Spring;3;09:00:00;9;0;14;4;False
1998-04-03 10:00:00;3;Friday;1998-04-03;1998;4;Spring;3;10:00:00;10;0;14;4;False
1998-04-03 11:00:00;3;Friday;1998-04-03;1998;4;Spring;3;11:00:00;11;0;14;4;False
1998-04-03 12:00:00;3;Friday;1998-04-03;1998;4;Spring;3;12:00:00;12;0;14;4;False
1998-04-03 13:00:00;3;Friday;1998-04-03;1998;4;Spring;3;13:00:00;13;0;14;4;False
1998-04-03 14:00:00;3;Friday;1998-04-03;1998;4;Spring;3;14:00:00;14;0;14;4;False
1998-04-03 15:00:00;3;Friday;1998-04-03;1998;4;Spring;3;15:00:00;15;0;14;4;False
1998-04-03 16:00:00;3;Friday;1998-04-03;1998;4;Spring;3;16:00:00;16;0;14;4;False
1998-04-03 17:00:00;3;Friday;1998-04-03;1998;4;Spring;3;17:00:00;17;0;14;4;False
1998-04-03 18:00:00;3;Friday;1998-04-03;1998;4;Spring;3;18:00:00;18;0;14;4;False
1998-04-03 19:00:00;3;Friday;1998-04-03;1998;4;Spring;3;19:00:00;19;0;14;4;False
1998-04-03 20:00:00;3;Friday;1998-04-03;1998;4;Spring;3;20:00:00;20;0;14;4;False
1998-04-03 21:00:00;3;Friday;1998-04-03;1998;4;Spring;3;21:00:00;21;0;14;4;False
1998-04-03 22:00:00;3;Friday;1998-04-03;1998;4;Spring;3;22:00:00;22;0;14;4;False
1998-04-03 23:00:00;2;Friday;1998-04-03;1998;4;Spring;3;23:00:00;23;0;14;4;False
1998-04-04 00:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;00:00:00;0;0;14;5;False
1998-04-04 01:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;01:00:00;1;0;14;5;False
1998-04-04 02:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;02:00:00;2;0;14;5;False
1998-04-04 03:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;03:00:00;3;0;14;5;False
1998-04-04 04:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;04:00:00;4;0;14;5;False
1998-04-04 05:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;05:00:00;5;0;14;5;False
1998-04-04 06:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;06:00:00;6;0;14;5;False
1998-04-04 07:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;07:00:00;7;0;14;5;False
1998-04-04 08:00:00;2;Saturday;1998-04-04;1998;4;Spring;4;08:00:00;8;0;14;5;False
1998-04-04 09:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;09:00:00;9;0;14;5;False
1998-04-04 10:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;10:00:00;10;0;14;5;False
